"Var2","C","K_s","A","Y","L_s","I","Case"
"1",0.00186421487354687,0.00256097498617791,0.01,0.0112913911856321,0.00198675567055497,0.0426829164362983,"habit formation"
"2",0.0034289206634722,0.00469218743349428,0.0095,0.0114319430254484,0.00159323350848873,0.0380811824414507,"habit formation"
"3",0.00473001712893252,0.00644946380825973,0.00902499999999999,0.0114853996488858,0.00125866776522364,0.0339801270129183,"habit formation"
"4",0.00579987549524004,0.00788216255568982,0.00857374999999999,0.0114646525771474,0.000974754222290209,0.0303277762654278,"habit formation"
"5",0.00666757195328916,0.00903384526673164,0.00814506249999999,0.0113811489478008,0.000734353159292105,0.0270768744063867,"habit formation"
"6",0.00735913119463876,0.00994289107438219,0.00773780937499999,0.0112450152910294,0.000531323189078459,0.0241846087275742,"habit formation"
"7",0.00789777155952419,0.0106430563559872,0.00735091890624999,0.0110651774278519,0.000360379455064908,0.0216123124344661,"habit formation"
"8",0.00830414572565774,0.011163982471127,0.00698337296093748,0.0108494748141021,0.000216972505828882,0.0193251582749839,"habit formation"
"9",0.00859657268818516,0.0115316546711341,0.00663420431289061,0.0106047682568704,9.7184737384729e-05,0.0172918524712439,"habit formation"
"10",0.00879125818384837,0.0117688155366671,0.00630249409724608,0.0103370403865342,-2.35822369158006e-06,0.015484335763352,"habit formation"
"11",0.00890250178236416,0.0118953363817618,0.00598736939238377,0.0100514886085741,-8.45634175994925e-05,0.0138774962882453,"habit formation"
"12",0.00894288967524346,0.011928550043695,0.00568800092276458,0.00975261051003786,-0.00015193560945523,0.0124488974139811,"habit formation"
"13",0.00892347279285524,0.0118835483868826,0.00540360087662635,0.00944428187568821,-0.000206633101600265,0.0111785224301551,"habit formation"
"14",0.0088539303193892,0.01177344770832,0.00513342083279503,0.00912982759444254,-0.000250515651656231,0.0100485370775064,"habit formation"
"15",0.00874271898834237,0.0116096250589915,0.00487674979115528,0.00881208582029362,-0.00028518564399271,0.0090430702195103,"habit formation"
"16",0.00859720875679926,0.0114019283032963,0.00463291230159751,0.00849346580349235,-0.000312023490123403,0.00814801246407226,"habit formation"
"17",0.00842380559776422,0.0111588625366785,0.00440126668651764,0.00817599983526699,-0.000332218088059724,0.00735083219299862,"habit formation"
"18",0.00822806223408204,0.010887755277548,0.00418120335219175,0.0078613897589489,-0.000346793047570998,0.00664040821783676,"habit formation"
"19",0.00801477767919509,0.0105949026485059,0.00397214318458216,0.00755104849692672,-0.000356629284068227,0.00600687812684613,"habit formation"
"20",0.00778808646023946,0.010285698567514,0.00377353602535305,0.00724613703013066,-0.000362484495465745,0.00544150129864078,"habit formation"
"21",0.007551538386452,0.0099647487844934,0.0035848592240854,0.00694759724767222,-0.000365009961388314,0.00493653551717111,"habit formation"
"22",0.00730816969727907,0.00963597142446982,0.00340561626288113,0.00665618106106561,-0.000364765040389912,0.00448512611743378,"habit formation"
